#Cell_Idx|Cell_Z|Cell_X|Tier
#C_Idx|C_Z|C_X|Tier
#North America|||
377|17960|-9457|3
378|-22082|22462|3
379|-5990|-26351|3
380|-7170|-10513|3
381|-16486|22473|3
382|-16956|-8227|3
383|-2429|-1682|3
384|-22041|14644|3
385|-4794|-15502|3
386|-14415|-19782|3
387|24761|8415|3
388|12508|23077|3
389|23738|-15345|3
390|19827|12703|3
391|5400|-3773|3
392|-13851|-339|3
393|-12940|-24714|3
394|-16138|-24677|3
395|-5134|-19267|3
396|21122|1880|3
397|10874|-22062|3
398|-21860|10955|3
399|1854|-17269|3
400|16887|-18182|3
401|-4285|-18820|3
402|24596|14163|3
403|945|-3634|3
404|-13730|-12216|3
405|11806|-3597|3
406|26234|-20120|3
407|25224|15522|3
408|15635|5192|3
409|23823|-17032|3
410|26047|170|3
411|-13384|20309|3
412|19767|4910|3
413|26728|25409|3
414|26776|12611|3
415|-1055|-20063|3
416|2041|3504|3
417|22139|-2210|3
418|-1043|-16841|3
419|14092|-11616|3
420|-16860|405|3
421|-6825|15381|3
422|3391|-23383|3
423|-8162|-24428|3
424|22528|-14597|3
425|-24207|-1020|3
426|-5946|17867|3
427|19300|-24210|3
428|2485|-19374|3
429|-22832|-8482|3
430|16700|-5262|3
431|23579|-16337|3
432|8349|9869|3
433|9288|13490|3
434|8906|-9004|3
435|19409|-2359|3
436|20746|-19188|3
437|-22092|-16882|3
438|-11397|21901|3
439|-26343|8359|3
440|-18540|-23091|3
441|26774|22904|3
442|23273|20076|3
443|-20433|-2064|3
444|-8357|14339|3
445|20233|10014|3
446|22399|9143|3
447|8101|16817|3
448|-370|-8874|3
449|19695|-10297|3
450|22048|2395|3
451|-18049|4439|3
452|-22879|18761|3
453|-24875|13040|3
454|3658|-5778|3
455|-2692|-6878|3
456|-21794|-4639|3
457|-22318|-23156|3
458|-10986|25370|3
459|-5913|21841|3
460|-5368|22012|3
461|-13036|-18374|3
462|13381|12859|3
463|-5588|1667|3
464|22607|12881|3
465|16121|-9166|3
466|-11420|-21411|3
467|12664|3271|3
468|-21621|-25746|3
469|25237|-4912|3
470|19138|1511|3
471|17830|-12921|3
472|5425|-4552|3
473|26825|-12909|3
474|-24701|4903|3
475|-24745|-20359|3
476|-19248|5078|3
477|15691|-1497|3
478|13799|-22435|3
479|15331|1466|3
480|-7580|17393|3
481|-9642|-7035|3
482|6159|6765|3
483|22273|6877|3
484|-15392|5437|3
485|-26724|-2575|3
486|17624|-1329|3
487|-16818|19273|3
488|12983|-21848|3
489|8521|-16636|3
490|-14277|19083|3
491|14315|-6528|3
492|23494|19659|3
493|24008|1305|3
494|-18368|18073|3
495|-26207|-12302|3
496|-26176|-17676|3
497|-16755|3644|3
498|-26|-21059|3
499|-15980|12081|3
500|18577|-1882|3
501|16602|9535|3
502|18473|-17370|3
503|-18202|18497|3
504|4315|-26164|3
505|-12883|21593|3
506|26664|1608|3
507|11290|-2664|3
508|17655|-19531|3
509|-505|23331|3
510|-10594|25285|3
511|-12361|3246|3
512|10515|-26313|3
513|-11065|-25724|3
514|23807|-19218|3
515|26200|-24832|3
516|-3255|-14092|3
517|14300|-11798|3
518|6096|-25428|3
519|-20234|-10644|3
520|25654|-26006|3
521|-1051|22600|3
522|-19497|12156|3
523|-17103|-11671|3
524|-1885|-17338|3
525|23161|-20308|3
526|-13796|-21759|3
527|24716|-20267|3
528|17618|26272|3
529|2601|25735|3
530|20258|2109|3
531|12143|8832|3
532|-3806|-23147|3
533|14274|18043|3
534|22676|-24646|3
535|19203|-24900|3
536|-22218|15659|3
537|-10577|23058|3
538|-13616|15744|3
539|-13650|-16614|3
540|-5255|18005|3
541|-15195|-26065|3
542|2270|23801|3
543|-23824|-9025|3
544|-19208|-11251|3
545|25770|-16585|3
546|-15860|-15932|3
547|-23930|-26034|3
548|11099|15237|3
549|3303|10757|3
550|-10345|21074|3
551|-1640|-10648|3
552|23297|8192|3
553|-17768|17159|3
554|14641|13298|3
555|-15789|-11954|3
556|-822|-4854|3
557|-575|4551|3
558|-6012|-19461|3
559|-11830|-18944|3
560|21642|22215|3
561|848|5994|3
562|23660|15329|3
563|13602|17693|3
564|9191|12207|3
565|2596|13623|3
566|8264|-22690|3
567|24806|-53|3
568|-17665|20705|3
569|8214|24500|3
570|23146|-541|3
571|12285|-4745|3
572|9796|-16026|3
573|12934|9023|3
574|-18920|-20558|3
575|-16721|13311|3
576|403|-15579|3
577|19540|24197|3
578|20774|15458|3
579|9991|-14187|3
580|-2677|-21740|3
581|12076|-2843|3
582|8939|-1228|3
583|-25878|23509|3
584|-11858|16506|3
585|-5621|4744|3
586|-22769|-15187|3
587|-7211|12641|3
588|-22766|-17248|3
589|-22645|-3725|3
590|-12159|11789|3
591|-5165|8936|3
592|-981|-8473|3
593|-8390|18383|3
594|5229|-19994|3
595|4959|11586|3
596|-3263|2847|3
597|9014|-24831|3
598|-19170|23306|3
599|-13090|834|3
600|19206|-15617|3
601|-433|-26700|3
602|20561|-13575|3
603|7375|-8186|3
604|-13697|1707|3
605|-15035|14773|3
606|-18990|13477|3
607|-21405|-13865|3
608|-13000|-18179|3
609|-2090|5029|3
610|1097|-18186|3
611|-20653|-13568|3
612|-25448|-7589|3
613|-15791|-23642|3
614|7878|14788|3
615|-26934|21394|3
616|-14723|8480|3
617|-2197|16178|3
618|-23266|291|3
619|-14477|22461|3
620|8823|-11441|3
621|17258|16692|3
622|6194|-2145|3
623|-17297|3186|3
624|12382|-26239|3
625|-2002|6974|3
626|-26984|-55|3
627|1894|-15980|3
628|9618|-13926|3
629|1899|25890|3
630|8235|11540|3
631|-20438|-25604|3
632|-19176|10261|3
633|26865|-9166|3
634|2475|26235|3
635|15754|20178|3
636|-9116|25458|3
637|23752|-1298|3
638|-11765|21226|3
639|-25070|11476|3
640|-4296|-5993|3
641|-4042|20644|3
642|18406|-11040|3
643|19219|-8995|3
644|10163|13144|3
645|-9516|-12424|3
646|-20973|11995|3
647|17847|46|3
648|6044|-12600|3
649|20369|-12520|3
650|15004|11239|3
651|5770|12690|3
652|22887|25585|3
653|-8082|-26287|3
654|-5360|18877|3
655|-19541|3433|3
656|7793|25474|3
657|14427|20552|3
658|19218|-15675|3
659|2983|986|3
660|-988|22572|3
661|8493|12941|3
662|8609|10771|3
663|12798|2046|3
664|-26366|5101|3
665|-10574|21855|3
666|-20383|-20427|3
667|26206|-8922|3
668|21975|26173|3
669|847|-23310|3
670|8149|-14979|3
671|-14038|21029|3
672|14819|18271|3
673|13355|-3027|3
674|1199|21154|3
675|-20689|-7|3
676|11736|-8699|3
677|11986|-19620|3
678|21438|-25624|3
679|-2497|26044|3
680|-15510|6492|3
681|-5443|601|3
682|3540|6773|3
683|-10482|-2993|3
684|-26751|2435|3
685|8516|-99|3
686|3846|11875|3
687|-5112|-26666|3
688|928|-24459|3
689|-24004|6320|3
690|-23977|22170|3
691|12455|-8746|3
692|929|-18055|3
693|24442|1925|3
694|13318|-5159|3
695|8432|-9713|3
696|17185|-6319|3
697|-26136|-18452|3
698|2505|21507|3
699|-12817|-8363|3
700|21840|-26111|3
701|9282|-6980|3
702|24988|-23381|3
703|24778|24036|3
704|1523|-25911|3
705|-4984|-20416|3
706|21120|-5140|3
707|7772|42|3
708|-10839|24806|3
709|18739|15289|3
710|-17603|-5001|3
711|-4120|18191|3
712|708|11997|3
713|1181|21137|3
714|-22831|23363|3
715|13832|-803|3
716|-21180|-10877|3
717|13589|-11655|3
718|-11305|21575|3
719|7365|-10507|3
720|8284|12492|3
721|-2745|11154|3
722|26980|-2403|3
723|17956|-7662|3
724|-12041|-26012|3
725|-22363|-8440|3
726|3203|-18591|3
727|23066|23795|3
728|8242|20388|3
729|25512|23268|3
730|-25305|5033|3
731|20056|-3595|3
732|-4874|16392|3
733|23136|-14986|3
734|-21660|24078|3
735|25050|-6|3
736|24688|-126|3
737|-11076|-11264|3
738|1944|2290|3
739|4384|-1697|3
740|-15788|19818|3
741|-13564|-21017|3
742|-19419|-21852|3
743|-16043|13563|3
744|17116|3842|3
745|19092|-6354|3
746|16519|3147|3
747|14176|22797|3
748|-7134|9656|3
749|-10802|-5321|3
750|11307|17162|3
751|-19359|-21145|3
752|16758|12075|3
753|4195|-8842|3
754|-24383|-15041|3
755|15268|2918|3
756|-14827|20513|3
757|13766|13480|3
758|-13467|-22111|3
759|-15922|-20774|3
760|-24883|12328|3
761|19255|26416|3
762|14893|-10409|3
763|23433|-1387|3
764|19692|4903|3
765|-11742|-6160|3
766|10763|-779|3
767|16173|6848|3
768|11770|22494|3
769|-23684|-24147|3
770|23122|22094|3
771|-6773|-21725|3
772|-10239|-8536|3
773|-7815|-5769|3
774|14966|-21257|3
775|-26669|4143|3
776|-13490|-16144|3
777|11126|9335|3
778|14567|24564|3
779|4051|-25548|3
780|12245|-437|3
781|25877|11926|3
782|-12932|-21332|3
783|-1237|25133|3
784|2124|-8633|3
785|2111|9341|3
786|-21211|8390|3
787|-193|-4985|3
788|-25312|20330|3
789|20522|4499|3
790|-4850|-3182|3
791|14319|-10338|3
792|12306|-18038|3
793|11227|-11588|3
794|-5839|-20870|3
795|23524|-9171|3
796|10227|-18829|3
797|-26126|-12443|3
798|23214|-17590|3
799|-26318|22524|3
800|-22839|-12335|3
801|-16692|-372|3
802|-6444|1611|3
803|-4616|-3199|3
804|-19958|-15593|3
805|23921|-24161|3
806|-2855|21079|3
807|-21174|18791|3
808|20913|13102|3
809|14590|-8140|3
810|-24906|-91|3
811|18510|-4480|3
812|12856|-7672|3
813|-17761|8884|3
814|-7855|25639|3
815|26841|24611|3
816|19258|11032|3
817|-5029|-16713|3
818|-11927|-144|3
819|-16069|20383|3
820|-6034|13651|3
821|-9751|12284|3
822|18129|26285|3
823|20517|4792|3
824|-26902|-16752|3
825|-18125|-2223|3
826|-21563|-20867|3
827|15274|5124|3
828|21698|-25902|3
829|-11244|26952|3
830|20480|2596|3
831|-25760|-19744|3
832|-13920|6517|3
833|-20559|5671|3
834|10149|-12838|3
835|3353|16999|3
836|1051|-969|3
837|19720|-11883|3
838|25381|-15596|3
839|6645|-6339|3
840|-25352|-5124|3
841|-15168|15002|3
842|-17605|1765|3
843|-24044|-7510|3
844|-25294|7650|3
845|-2711|3251|3
846|-26156|26738|3
847|-20928|-12835|3
848|-15952|-18142|3
849|-4518|17929|3
850|16795|-16872|3
851|20793|8003|3
852|12561|-9204|3
853|7402|11554|3
854|12607|2072|3
855|7294|-4553|3
856|-7507|9862|3
857|-26632|14660|3
858|13172|-23598|3
859|345|10996|3
860|20177|-19782|3
861|-22745|21590|3
862|-3978|-16238|3
863|24142|9651|3
864|1396|-14352|3
865|-25614|3992|3
866|3353|-25169|3
867|17299|25713|3
868|12175|10092|3
869|-25938|-18545|3
870|15274|5135|3
871|-15795|-24271|3
872|-11111|-23862|3
873|24936|-24164|3
874|-18950|4840|3
875|11630|23262|3
876|-21068|10467|3
877|910|25819|3
878|-23784|-17234|3
879|11190|-8092|3
880|-14067|-1000|3
881|22746|22981|3
882|-4463|24477|3
883|-22665|23208|3
884|-6753|4554|3
885|9468|-19956|3
886|-7909|8488|3
887|9798|9290|3
888|4091|-9800|3
889|12505|25427|3
890|-24854|17843|3
891|-19772|-2686|3
892|9815|17543|3
893|-11460|22426|3
894|25382|-14121|3
895|18404|-20588|3
896|19335|12634|3
897|-17121|-7443|3
898|-20061|-30|3
899|-7949|12884|3
900|7596|9460|3
901|-3467|-1038|3
902|-15324|-26075|3
903|-6427|-5857|3
904|-19258|-14863|3
905|-14968|517|3
906|-9313|9699|3
907|-4653|21016|3
908|-22754|-12710|3
909|2328|9282|3
910|-2030|-23318|3
911|-21205|-20|3
912|-8562|-2315|3
913|-25271|7233|3
914|-25135|26133|3
915|-3983|-23164|3
916|9333|23200|3
917|13715|5384|3
918|4044|-4111|3
919|24096|3747|3
920|-3253|-1385|3
921|22479|11270|3
922|22385|25327|3
923|951|17495|3
924|13997|-13417|3
925|-9134|7820|3
926|911|3251|3
927|15093|4786|3
928|15494|-16304|3
929|-14971|3467|3
930|21598|24246|3
931|-3145|-23127|3
932|-7197|-7534|3
933|23039|7627|3
934|25370|-14113|3
935|-11945|-18062|3
936|6409|-6478|3
937|11912|-21328|3
938|23152|-19319|3
939|19835|-5901|3
940|12011|14093|3
941|10796|-17750|3
942|21247|20265|3
943|-3605|-8369|3
944|-21757|17598|3
945|-11716|26350|3
946|-8365|7684|3
947|-10074|6591|3
948|5954|26749|3
949|-16971|-12062|3
950|14094|21357|3
951|9908|3704|3
952|11871|-18043|3
953|8730|-16439|3
954|5200|-11207|3
955|-8608|-26570|3
956|8091|17518|3
957|-13530|-2370|3
958|-9133|-19218|3
959|11656|1453|3
960|17191|11491|3
961|19967|-20771|3
962|-6147|-937|3
963|18106|-12594|3
964|25571|8075|3
965|-1337|14485|3
966|22160|-9274|3
967|-5275|-10099|3
968|9702|-16643|3
969|320|10179|3
970|-16243|25700|3
971|-4482|-2690|3
972|-5055|7657|3
973|4896|18494|3
974|15187|109|3
975|-17034|-23068|3
976|-17825|-20434|3
977|3526|-16923|3
978|23803|-20623|3
979|-24774|-4706|3
980|-23715|-16143|3
981|25814|-1750|3
982|2604|25742|3
983|-9086|-8537|3
984|-14933|3641|3
985|-20446|18585|3
986|12745|10925|3
987|-5503|-1851|3
988|-10705|-6402|3
989|-16607|12652|3
990|23403|24458|3
991|-3203|-7944|3
992|23232|5835|3
993|-2349|-17067|3
994|-12208|1243|3
995|12867|-21527|3
996|-4583|-12350|3
997|12728|-7538|3
998|11120|12341|3
999|7748|-7765|3
1000|1239|-26406|3
1001|-8416|-5091|3
1002|-20586|-21181|3
1003|16668|15400|3
1004|-5090|-13119|3
1005|23743|-13586|3
1006|-21891|1460|3
1007|-4764|-11736|3
1008|-17564|-1868|3
1009|26391|-11107|3
1010|-5413|18687|3
1011|10492|-16418|3
1012|-463|-13898|3
1013|-23119|23048|3
1014|-7047|3292|3
1015|12545|901|3
1016|-4237|20214|3
1017|-11591|-5917|3
1018|-5400|14864|3
1019|9482|23288|3
1020|6936|15114|3
1021|-25316|19020|3
1022|23679|21791|3
1023|20235|-23258|3
1024|1600|14048|3
1025|-1706|-4801|3
1026|13136|15028|3
1027|-25765|-8657|3
1028|-10683|-7976|3
1029|-15747|12687|3
1030|-11847|17567|3
1031|-16430|23486|3
1032|25548|25609|3
1033|-21379|17799|3
1034|13074|11194|3
1035|-9688|3310|3
1036|-9628|-17207|3
1037|2162|15633|3
1038|-22773|23515|3
1039|-9632|-3841|3
1040|-14559|938|3
1041|-22678|-2268|3
1042|-9445|-13872|3
1043|-10126|-24973|3
1044|-20315|-20725|3
1045|-20021|23974|3
1046|-23434|-18559|3
1047|-22907|21810|3
1048|-25067|-18523|3
1049|9543|-8090|3
1050|-15509|13538|3
1051|12967|-21631|3
1052|-18853|22479|3
1053|25349|26295|3
1054|20085|26692|3
1055|-2969|26272|3
1056|-8335|-6175|3
1057|-12886|-26305|3
1058|-9691|14035|3
1059|-16591|-19198|3
1060|8564|22139|3
1061|4218|-6400|3
1062|1837|10572|3
1063|7620|5645|3
1064|-18459|-9285|3
1065|7027|24694|3
1066|-24228|25784|3
1067|18839|-11880|3
1068|-10769|22422|3
1069|5484|7617|3
1070|21735|1638|3
1071|-14802|-17785|3
1072|11493|9802|3
1073|21452|6324|3
1074|11934|-13074|3
1075|-20541|-3419|3
1076|11115|-4078|3
1077|20081|-16574|3
1078|-19685|-21956|3
1079|-26806|-15333|3
1080|4805|-15597|3
1081|-24421|24417|3
1082|-4271|-5461|3
1083|-22531|-21112|3
1084|-12644|-3850|3
1085|-24191|-25602|3
1086|15705|1697|3
1087|3405|-20518|3
1088|-3429|-10891|3
1089|-12914|22371|3
1090|-23937|-21915|3
1091|-11302|-6606|3
1092|5751|9394|3
1093|-11767|-22735|3
1094|-24718|13889|3
1095|-9470|-24809|3
1096|-20328|-26716|3
1097|12538|19924|3
1098|15202|17195|3
1099|-18939|-17467|3
1100|-22123|7647|3
1101|5855|12816|3
1102|11793|-3606|3
1103|12394|9134|3
1104|2249|20726|3
1105|3757|-26234|3
1106|13302|-11625|3
1107|24050|-20629|3
1108|8292|-9217|3
1109|-10212|-8308|3
1110|-21370|-12898|3
1111|22439|13912|3
1112|8808|12359|3
1113|-2498|-3707|3
1114|8109|20620|3
1115|1193|6662|3
1116|6673|12631|3
1117|-9003|23511|3
1118|25268|1696|3
1119|17171|18566|3
1120|15835|-23563|3
1121|7779|-5527|3
1122|-22039|-15001|3
1123|12068|-1220|3
1124|8903|-22786|3
1125|-15859|4505|3
1126|4243|26527|3
1127|-554|-21411|3
1128|18207|-24345|3
1129|17030|-7910|3
1130|-7048|-20598|3
1131|20277|11618|3
1132|18210|-6992|3
1133|-7153|14136|3
1134|18784|14276|3
1135|13286|17000|3
1136|-11604|5792|3
1137|16077|9021|3
1138|12641|886|3
1139|7549|4651|3
1140|-13218|20873|3
1141|9208|8425|3
1142|63|-15656|3
1143|-26490|-17394|3
1144|22083|-18543|3
1145|-4041|-7989|3
1146|18091|17219|3
1147|204|-5577|3
1148|19740|8253|3
1149|-1556|-26147|3
1150|6369|-5655|3
1151|-21021|-13241|3
1152|14427|-562|3
1153|19892|-15455|3
1154|-10448|7871|3
1155|-13990|2838|3
1156|-25538|-23170|3
1157|16934|-22174|3
1158|-11121|-1655|3
1159|23336|-10997|3
1160|-24382|-5575|3
1161|-12678|18359|3
1162|-11718|16840|3
1163|-3272|5693|3
1164|-17732|22852|3
1165|21954|18368|3
1166|-20316|-1047|3
1167|-162|-3003|3
1168|6520|23481|3
1169|-15344|18104|3
1170|3963|18886|3
1171|11673|21148|3
1172|9691|-22734|3
1173|15326|-17102|3
1174|-13486|-26240|3
1175|-9309|23650|3
1176|2247|5958|3
1177|17473|-23408|3
1178|21231|3862|3
1179|11774|-8203|3
1180|1146|-7933|3
1181|-6477|8662|3
1182|13110|-20953|3
1183|-3408|6388|3
1184|19256|5836|3
1185|-10721|-14698|3
1186|17323|-14204|3
1187|-7876|-1645|3
1188|-25895|18873|3
1189|-15344|-13478|3
1190|4612|5119|3
1191|21633|-8325|3
1192|25008|6379|3
1193|15631|-22375|3
1194|-14406|-10672|3
1195|-22149|17083|3
1196|-25131|-21127|3
1197|-7987|-343|3
1198|-328|20914|3
1199|10488|13003|3
1200|-5888|-20239|3
1201|15941|11230|3
1202|-16241|-9560|3
1203|-5431|18844|3
1204|-1120|-670|3
1205|-6093|-2665|3
1206|4288|4076|3
1207|5758|-24248|3
1208|-19859|-8649|3
1209|-3345|14761|3
1210|8002|-1687|3
1211|7427|-19564|3
1212|18473|7737|3
1213|14022|-18007|3
1214|25411|5194|3
1215|-19029|23695|3
1216|-13740|-20156|3
1217|-16341|-12896|3
1218|-282|-12999|3
1219|21406|865|3
1220|23347|140|3
1221|20859|-7851|3
1222|24558|-20565|3
1223|23189|-11892|3
1224|21054|-23987|3
1225|-4216|-26510|3
1226|19036|3118|3
1227|20735|8754|3
1228|8278|-26127|3
1229|14633|-14130|3
1230|-2201|-21230|3
1231|22831|-19492|3
1232|-1909|19391|3
1233|-4441|-20123|3
1234|-18798|15749|3
1235|13335|15503|3
1236|24293|1716|3
1237|-21087|-15609|3
1238|17182|-8319|3
1239|-17842|-23994|3
1240|-11446|2728|3
1241|20602|23473|3
1242|-24067|-23819|3
1243|-586|9901|3
1244|-3370|-15001|3
1245|-2708|-5141|3
